"importId";"tax.code";"startDate";"endDate";"value"
212;"Other-Tax-10";"2014-01-01";;"0.10"
213;"GST-5";"2014-01-01";;"0.05"
214;"GST-12";"2014-01-01";;"0.12"
215;"GST-18";"2014-01-01";;"0.18"
216;"GST-28";"2014-01-01";;"0.28"
